Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.23205757931726,0.0887346141532557,-1.21899628133998,0,0,0,151.242640880102,87.7903709942697,3.69586134970905E-15,-3.63439884242386,180.769539338067,3.43371103041904E-15,94.3521005444993,0,0,0,0,0,0,package://Arena_URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arena_URDF/meshes/base_link.STL,,Arena-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_trap,0.133116318996327,-0.0101167211128155,1.37693718494523,0,0,0,19.2648362938564,0.354675164109579,-1.24164453645209E-07,-9.12571784185893E-16,0.760389829344902,-6.04385404637949E-06,0.40710358092682,0,0,0,0,0,0,package://Arena_URDF/meshes/Link_trap.STL,1,1,1,1,0,0,0,0,0,0,package://Arena_URDF/meshes/Link_trap.STL,,Jebakan - 1 -FIXED-2;Jebakan - 1 -FIXED-1;Jebakan - 3-1;Jebakan - 2-1;Karpet-3;home-base-1,Origin_Trap,,Trap,fixed,0.01951,1.0061,-0.00017445,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
